code,description,unit,category,marked
289501,CABLE ZIP TIES 300mm (PKT OF 100),PKT,CABLE TIES / ZIP TIES,
289502,CABLE ZIP TIES 370mm (PKT OF 100),PKT,CABLE TIES / ZIP TIES,
172523,CHAIN GALV 6mm LINK,METRE,CHAIN,
172501,CHAIN GALVANIZED 10mm,METRE,CHAIN,
208125,DEE SHACKLES 6mm 0.5T,EACH,DEE SHACKLE,
208240,DEE SHACKLES 8mm 0.75T,EACH,DEE SHACKLE,
208350,DEE SHACKLES 10mm 1.0T,EACH,DEE SHACKLE,
208462,DEE SHACKLES 13mm 2.0T,EACH,DEE SHACKLE,
208575,DEE SHACKLES 16mm 3.2T,EACH,DEE SHACKLE,
207358,FASTY STRAP YELLOW 1.5m x 25mm – 400kg,EACH,FASTY STRAP,
207359,FASTY STRAP BLACK 3.5m x 25mm – 400kg,EACH,FASTY STRAP,
207365,FASTY STRAP RED 2.5m x 25mm – 400kg,EACH,FASTY STRAP,
207373,FASTY STRAP BLUE 2m x 25mm – 400kg,EACH,FASTY STRAP,
201402,RATCHET LOCKING 1500kg 35mm x 6m,EACH,RATCHET TIE DOWNS,
201403,RATCHET S HOOK 1000kg 35mm x 6m,EACH,RATCHET TIE DOWNS,
207477,RATCHET S HOOK 450kg 25mm x 4m,EACH,RATCHET TIE DOWNS,
201101,ROPE POLY 6mm,METRE,ROPE,
201201,ROPE POLY 12mm,METRE,ROPE,
174201,LARGE TARP POLY BLU/SILVER 3.6m x 5.4m,EACH,TARP,
207053,SMALL TARP POLY BLU/SILVER 1.8m x 2.4m,EACH,TARP,
182461,SPRAY & MARK PINK 350g MARKING,EACH,SPRAY & MARK PAINT,
182476,SPRAY & MARK BLACK 350g MARKING,EACH,SPRAY & MARK PAINT,
182477,SPRAY & MARK WHITE 350g MARKING,EACH,SPRAY & MARK PAINT,
182478,SPRAY & MARK YELLOW 350g MARKING,EACH,SPRAY & MARK PAINT,
182480,SPRAY & MARK BLUE 350g MARKING,EACH,SPRAY & MARK PAINT,
182493,RED ENAMEL 325g,EACH,ENAMEL SPRAY PAINT,
182791,WHITE 400g ENAMEL SPRAY PAINT,EACH,ENAMEL SPRAY PAINT,
182793,BLUE ENAMEL 325g,EACH,ENAMEL SPRAY PAINT,
182794,GREEN ENAMEL 325g,EACH,ENAMEL SPRAY PAINT,
182797,BLACK ENAMEL 350g,EACH,ENAMEL SPRAY PAINT,
