ServiceCode,ServiceName,PKNumber,Section
20001,Parks Branch Management,PK000087,Management
20131,Internal Roads Horticultural Services,PK000044,Park Maintenance
20141,Parks Planning and Management,PK000086,Planning Design & Capital Delivery
20151,Parks Leadership and Administration,PK000001,Depots
20161,Parks Staff Tea Service,,Park Maintenance
20170,Contract Mowing - Zone 10,PK000427,Park Maintenance
20171,Zone 11 Mowing,PK000401,Park Maintenance
20172,Zone 12 Mowing,PK000396,Park Maintenance
20181,Internal Parks Landscape Services,PK000012,Park Maintenance
20191,Parks Design & Capital Delivery,PK000082,Planning Design & Capital Delivery
20211,Free Trees Program,PK000081,Natural Areas
20221,Contract Roads Mowing - Main Roads,PK000042,Park Maintenance
20222,Contract Roads Mowing - Private Nature Strip,PK000043,Park Maintenance
20231,CIR Street Trees,PK000059,Trees
20241,Roadside Street Tree Operations,PK000055,Trees
20251,Tip Fees - Marsden Teams,PK000053,Park Maintenance
20252,Roadside Asset Maintenance Repairs,PK000054,Park Services
20260,Roadside Co-ordination and Administration,PK000034,Park Maintenance
20261,Contract Roads Mowing - Zone 1,PK000035,Park Maintenance
20266,Parks Litter Collection Munruben,PK000040,Park Maintenance
20267,Munruben Contracts Mowing,PK000041,Park Maintenance
20276,Contract Roads Landscape Maintenance - Main Roads,PK000052,Park Maintenance
20281,Roadside Street Tree Planting Program,PK000057,Trees
20291,Parks Tree Planting Program,PK000033,Trees
20301,Parks and Bushland Rangers,PK000084,Park Services
20302,Parks Security Services,PK000085,Park Services
20311,Parks Litter Collection Marsden,PK000031,Park Maintenance
20317,Natural Areas - Fire Coordination & Admin,PK000431,Natural Areas
20318,Natural Areas - Environment Levy Coord & Admin,PK000432,Natural Areas
20319,Trees Coordination & Administration,PK000433,Trees
20320,Communities Coordination & Administration,PK000434,Natural Areas
20322,Internal Bushland Operations,PK000062,Natural Areas
20331,BBQ Cleaning - Zone 1,PK000025,Park Services
20332,BBQ Cleaning - Zone 2,PK000026,Park Services
20333,BBQ Cleaning - Zone 3,PK000027,Park Services
20341,Amenities Cleaning - Zone 1,PK000028,Park Services
20342,Amenities Cleaning - Zone 2,PK000029,Park Services
20343,Amenities Cleaning - Zone 3,PK000030,Park Services
20351,Contract Landscape Maintenance - Whole Park,PK000013,Park Maintenance
20361,Parks Coordination and Administration,PK000002,Park Services
20362,Park Services - Coordination & Administration,PK000435,Park Services
20371,Contract Landscape Maintenance - Zone 2,PK000014,Park Maintenance
20372,Contract Landscape Maintenance - Zone 3,PK000015,Park Maintenance
20373,Contract Landscape Maintenance - Zone 4,PK000016,Park Maintenance
