date,cents_per_litre_incl_gst,source
2026-04-09,326.6,AIP Brisbane TGP daily series
2026-04-10,318.5,AIP Brisbane TGP daily series
2026-04-13,303.8,AIP Brisbane TGP daily series
2026-04-14,296.2,AIP Brisbane TGP daily series
2026-04-15,285.4,AIP Brisbane TGP daily series
2026-04-16,272.6,AIP Brisbane TGP daily series
2026-04-17,263.8,AIP Brisbane TGP daily series
2026-04-20,255.3,AIP Brisbane TGP daily series
2026-04-21,249.4,AIP Brisbane TGP daily series
2026-04-22,239.4,AIP Brisbane TGP daily series
2026-04-23,230.5,AIP Brisbane TGP daily series
2026-04-24,226.0,AIP Brisbane TGP daily series
2026-04-27,225.3,AIP Brisbane TGP daily series
2026-04-28,225.1,AIP Brisbane TGP daily series
2026-04-29,226.6,AIP Brisbane TGP daily series
2026-04-30,227.6,AIP Brisbane TGP daily series
2026-05-01,228.2,AIP Brisbane TGP daily series
2026-05-04,228.5,AIP Brisbane TGP daily series
2026-05-05,228.0,AIP Brisbane TGP daily series
2026-05-06,225.3,AIP Brisbane TGP daily series
2026-05-07,222.8,AIP Brisbane TGP daily series
2026-05-08,218.7,AIP Brisbane TGP daily series
2026-05-11,211.7,AIP Brisbane TGP daily series
2026-05-12,208.6,AIP Brisbane TGP daily series
2026-05-13,205.0,AIP Brisbane TGP daily series
2026-05-14,203.7,AIP Brisbane TGP daily series
2026-05-15,204.0,AIP Brisbane TGP daily series
2026-05-18,205.4,AIP Brisbane TGP daily series
2026-05-19,207.0,AIP Brisbane TGP daily series
2026-05-20,209.7,AIP Brisbane TGP daily series
2026-05-21,211.4,AIP Brisbane TGP daily series
2026-05-22,211.9,AIP Brisbane TGP daily series
