canonical_file,line_ref,vendor,gl_ex_gst,invoice_incl_gst,sha256,status,abn_checksum
NA73211_2906937_Lockwise.pdf,2906937,Lockwise,10200.00,11220.00,ef876be25ffdef453fd0354883d8f8fdc1b4dedbe67587d9ae3e6095dca0f2eb,SIGHTED,PASS
NA73211_2908705_Lockwise.pdf,2908705,Lockwise,17000.00,18700.00,f6042fedcfe52fe88a6891c129eeaa1b73d43b4e8c6c821ccaf9f98353a71f39,SIGHTED,PASS
NA73211_00097461_TBM.pdf,00097461,TBM,7344.11,8078.52,1f5e5167dce5745d4fd95f74db428a8adc6d8d22327085d38e755e615097bc28,SIGHTED,PASS
NA73211_00097583_TBM.pdf,00097583,TBM,2180.00,2398.00,cc6b0812cf3239d1aedabaf7564411d1242b081cf99498738bf47a448291d894,SIGHTED,PASS
NA73211_00097626_TBM.pdf,00097626,TBM,4600.00,5060.00,7958c99b6c7b35260b28ac49df50a0c6201c6cb468932eb3e08374f0beea4324,SIGHTED,PASS
NA73211_00097780_TBM.pdf,00097780,TBM,1480.00,1628.00,43baaa81c8251b13439e78bea573881284a46faacde1c9b96f863f5e1e16458d,SIGHTED,PASS
NA73211_3222869_T2Electrical.pdf,3222869,T2Electrical,480.00,528.00,443a9355309824da4cf51359111b52f1d21af641bbd53cd5c95a2c9c2a3fea90,SIGHTED,PASS
NA73211_3223786_T2Electrical.pdf,3223786,T2Electrical,1340.00,1474.00,53f8530fbcc4b129dc53beddda810396a17c35fa248a7cfcb891591e2b947123,SIGHTED,PASS
NA73211_698933AU_EasySigns.pdf,698933AU,EasySigns,2093.47,2302.82,dbdda4e30bf10f3c15282b6a2dd3341b0872220307eb5b4ec79f2bf79b6ba1c5,SIGHTED,PASS
NA73211_713170AU_EasySigns.pdf,713170AU,EasySigns,339.97,373.97,7dd90830551b5ed98ba1cfa09d78d7dd5cb7a4fb7d2c5021b5a4e772b290de79,SIGHTED,PASS
NA73211_9016_RadioLogan.pdf,9016,Radio Logan Inc,1710.00,1881.00,d2ed5141fc05bccdd49d02fe14241b1c4c1417e39b18df6f65846d6689ba8825,SIGHTED,PASS
NA73211_34828_Australasia.pdf,34828,Australasia,546.68,601.35,dd08d87c3c731b6541e45bbb05b721a1e2d7354c52c7bda9dd12d8c20b9c2ebc,SIGHTED,PASS
NA73211_00735_WildlifeQld.pdf,00735,Wildlife Qld,200.00,220.00,6a964aa13f40b2d1363f6be5135e122e488bf96e79b755b89eacdfe54ae4654f,SIGHTED,PASS
NA73211_INV-38877_THLevai.pdf,INV-38877,THLevai,2250.00,2475.00,cb67772bd1520ac185f72153ab930354ab7ac481396834055f515a4ddb31a84a,SIGHTED,PASS
NA73211_INV-4029_Ausecology.pdf,INV-4029,Ausecology,8480.00,9328.00,ded5666e512e784fd04aa3603033119c60f4b4b0da29c281cb75fcaa07346621,NARROWED,(not on invoice)
NA73211_INV-4030_Ausecology.pdf,INV-4030,Ausecology,6360.00,6996.00,dbfcdd652eea7658dc0b17b454bf5c34259da6cb587fbbf91168a4b82626e32e,NARROWED,(not on invoice)
