canonical_file,line_ref,vendor,gl_ex_gst,invoice_incl_gst,status,abn_checksum
NA73211_00031079_BarbsTrees.pdf,00031079,Barbs Trees,314.00,345.40,SIGHTED,PASS (89 859 104 277)
NA73211_00031085_BarbsTrees.pdf,00031085,Barbs Trees,244.00,268.40,SIGHTED,PASS (89 859 104 277)
NA73211_00031086_BarbsTrees.pdf,00031086,Barbs Trees,582.00,640.20,SIGHTED,PASS (89 859 104 277)
NA73211_00031100_BarbsTrees.pdf,00031100,Barbs Trees,754.00,829.40,SIGHTED,PASS (89 859 104 277)
NA73211_00031115_BarbsTrees.pdf,00031115,Barbs Trees,194.00,213.40,SIGHTED,PASS (89 859 104 277)
NA73211_00031176_BarbsTrees.pdf,00031176,Barbs Trees,322.00,354.20,SIGHTED,PASS (89 859 104 277)
NA73211_00031204_BarbsTrees.pdf,00031204,Barbs Trees,740.00,814.00,SIGHTED,PASS (89 859 104 277)
NA73211_00031222_BarbsTrees.pdf,00031222,Barbs Trees,408.00,448.80,SIGHTED,PASS (89 859 104 277)
NA73211_00031239_BarbsTrees.pdf,00031239,Barbs Trees,634.50,697.95,SIGHTED,PASS (89 859 104 277)
NA73211_00031242_BarbsTrees.pdf,00031242,Barbs Trees,3665.00,4031.50,SIGHTED,PASS (89 859 104 277)
NA73211_00031269_BarbsTrees.pdf,00031269,Barbs Trees,1083.00,1191.30,SIGHTED,PASS (89 859 104 277)
NA73211_00059183_Wallum.pdf,00059183,Wallum Nurseries,569.20,626.12,SIGHTED,PASS (92 086 722 456)
NA73211_00059890_Wallum.pdf,00059890,Wallum Nurseries,289.05,317.96,SIGHTED,PASS (92 086 722 456)
NA73211_00060386_Wallum.pdf,00060386,Wallum Nurseries,414.85,456.34,SIGHTED,PASS (92 086 722 456)
NA73211_00001394_RST.pdf,00001394,RST Systems,1245.00,1369.50,SIGHTED,PASS (21 627 796 435)
