Line No	LDG	Account number	Fund account	Resource Group Code	Resource Code	Amount	Narrative1	Narrative2	Narrative3
001	PK	PK000001	PK000001	JOURNAL	73128	-43.05	TCB Distributors INV-396217	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L01
002	PK	PK000001	PK000001	JOURNAL	73512	43.05	TCB Distributors INV-396217	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L01
003	PK	PK000001	PK000001	JOURNAL	73128	-43.05	TCB Distributors INV-396428	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L02
004	PK	PK000001	PK000001	JOURNAL	73512	43.05	TCB Distributors INV-396428	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L02
005	PK	PK000001	PK000001	JOURNAL	73128	-43.05	TCB Distributors INV-396633	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L03
006	PK	PK000001	PK000001	JOURNAL	73512	43.05	TCB Distributors INV-396633	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L03
007	PK	PK000001	PK000001	JOURNAL	73128	-43.05	TCB Distributors INV-396827	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L04
008	PK	PK000001	PK000001	JOURNAL	73512	43.05	TCB Distributors INV-396827	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L04
009	PK	PK000001	PK000001	JOURNAL	73128	-43.05	TCB Distributors INV-397026	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L05
010	PK	PK000001	PK000001	JOURNAL	73512	43.05	TCB Distributors INV-397026	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L05
011	PK	PK000001	PK000001	JOURNAL	73128	-36.82	TCB Distributors INV-397213	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L06
012	PK	PK000001	PK000001	JOURNAL	73512	36.82	TCB Distributors INV-397213	Recode 73128 to 73512 milk	NA73128 review 10-Jun-2026 L06
