File,Account,SHA256,Bytes,Note
NA73563_WINC_LineItem_Audit_P1-P10.xlsx,73563,7af51811cc05f999f7f9f1227f2c25fd4cbf516a63c52591d7c8213fc8f20326,33942,WINC P1-P10 249-line audit
NA73563_WINC_Reconciliation.xlsx,73563,0366d16084bfa71a106507c53d18622c00664abd7d67d01d64a378cfb6fb17d9,17411,GL vs WINC invoice reconciliation
NA73563_WINC_April_9901782965.xlsx,73563,acdd74bdeb04277221756724103bcb65a23d84d5fd9cbef59c57b73efbae7360,81515,April WINC invoice (line detail)
NA73563_WINC_Feb_9901763737.xlsx,73563,9546122c4944e08b7e70e0f8c404acda641dd0b3d567fd262956bbbd2b1aab57,84100,"Feb WINC invoice NOW SIGHTED $1,240.45"
NA73563_Officeworks_TE005250_628185694.pdf,73563,36e029a6052a3e966309f8a1f2a48e0de8615f579dbdd65db9765149a291f74f,32089,TE005250 basket NOW SIGHTED $352.73
NA73563_WINC_9901690129_Jun2025.xlsx,73563,140172951314d6597d1d97e399eab735055c58af6b0b0263fdf16a77c39b2b24,83551,WINC P1 invoice NOW SIGHTED; Parks lines $448.22 ex; ABN 94 000 728 398 PASS
NA73563_WINC_9901699602_Jul2025.xlsx,73563,14f32dfe9848b589e93879be12340c0d197900c56b6a1645e1cf6811716d04b9,84826,WINC P2 invoice NOW SIGHTED; Parks lines $458.49 ex
NA73563_WINC_9901709054_Aug2025.xlsx,73563,bfa3165df042999113abef01461b3e5f8ed2f959102a59fb64d366fbb0146c24,81791,WINC P3 invoice NOW SIGHTED; Parks lines $357.50 ex
NA73563_WINC_9901718415_Sep2025.xlsx,73563,d591e378b6de0af0c213459ee8031e849f25c0e8e4f1f797cde3bace7b8047a3,86875,WINC P4 invoice NOW SIGHTED; Parks lines $1,092.86 ex
NA73563_WINC_9901727996_Oct2025.xlsx,73563,8d562d99eab01800869b5f148b3b61faabad3bf7a3d527022f0be1d0dd1f3475,93918,WINC P5 invoice NOW SIGHTED; Parks lines $776.44 ex
NA73563_WINC_9901737473_Nov2025.xlsx,73563,fa919f101b32a636c6432336707f4a49c6916e2d79f0c2107910819901b2349f,85858,WINC P6 invoice NOW SIGHTED; Parks lines $629.66 ex
NA73563_WINC_9901746332_Dec2025.xlsx,73563,752f6c234d4ac570f6399c61f3e9d6df934ec220c1f360a6660b83ed7382e225,67698,WINC P7 invoice NOW SIGHTED; Parks lines $597.86 ex
NA73563_WINC_9901754676_Jan2026.xlsx,73563,9d219d488935cd9361608294d9644d9bc1ceae6c016817aac9cee8d922e19b1a,94395,WINC P8 invoice NOW SIGHTED; Parks lines $949.99 ex
NA73563_WINC_9901773647_Mar2026.xlsx,73563,60d210e6dbeec97f807fe655edd761a9ec8711d9334fedf75ae62f8bf050e41d,88738,WINC P10 invoice NOW SIGHTED; Parks lines $950.46 ex (incl -$23.57 PPE credit)
NA73563_Ledger_Extract.xlsx,73563,b11caeb87a63f47104427c9bb70888899408980474eeba033ad03679775ddbbd,16960,TechOne 73563 full ledger export
NA73563_096380_DocReconstruction.pdf,73563,9f034918f7c25c5fec8c23e51ebb9fcb3a7f42fdfef03dd3a50a94b5dadedf46,46054,Document Reconstruction for stores issue 096380 $71.54 (1-20151-73563); item 207144 ENVELOPE DLX - Marsden match
NA73563_WINC_April_9901782965_SummaryPDF.pdf,73563,5f0804f4bd32415a2ca03d4485b65713f169d0f08166135a1afda4ea658de25e,1821790,PDF summary copy of the already-sighted April invoice 9901782965; firms the existing line, no new value
,,,,
NA73563_TE004125_Kibble_67913.pdf,73563,9247fb5f42306c7bde877e71e6b10b6c02c954b196b746ec7855840e821149e7,84786,"TE004125 SIGHTED 10-Jun-2026. Tom Kibble Plan Printing tax invoice 00067913 (ABN 57 341 593 858 PASS, ACN 010 212 254) 20-Feb-2025: 3x 18in yellow trace $124.80 + 1x white trace $41.60 = $166.40 ex, GST $16.64 exact, total $183.04, Mastercard MOTO card ...1627 (Anita Moore, emp 21469). GL $166.40 exact; plan-printing stock, 73563 correct. COMPLIANT_WITH_NOTE: FY25-dated invoice posted P1 FY26, late PCard reconciliation advisory."
