file,account,line,sha256,gl_ex_gst,invoice_incl_gst,status
NA73601_Evidence/NA73601_L03_OrgRisk_INV-251010-2.pdf,73601,"L03 GJ078546 $2,132.63 (P9)",42a8a427ac53837a21e1be8b026663a770327454af40bd936b8c2d31b5d50b14,2132.63,2345.89,SIGHTED
NA73601_Evidence/NA73601_Ledger_Extract_11-Jun-2026.xlsx,73601,full account (9 lines),d05d444b45997b01ddaf8e56cf15fe9a17d1586935888daf9fad6b7cf29e7761,46003.66,n/a,PROVIDED
(not held),73601,"L01 INV-250714 $1,955.25",,1955.25,2150.78,GAP
(not held),73601,"L02 INV-250811 $7,238.00",,7238.00,7961.80,GAP
(not held),73601,"L04 INV-250812 $5,867.95",,5867.95,6454.75,GAP
(not held),73601,"L05 INV-250813 $1,809.50",,1809.50,1990.45,GAP
(not held),73601,"L06 INV-250910 $5,687.00",,5687.00,6255.70,GAP
(not held),73601,"L07 INV-250911 $6,850.25",,6850.25,7535.28,GAP
(not held),73601,"L08 INV-250912 $5,105.38",,5105.38,5615.92,GAP
(not held),73601,"L09 INV-250913 $9,357.70",,9357.70,10293.47,GAP
