LCC PARKS 4090000 - CARRIED 3-JUN RECODE (Doc46 audit + PCard residual) - RECODE JOURNAL
Batch: CN-23167 (PREPARED FOR JOURNAL; Spero decision, no Finance gate)
Ledger: PK | Format: GENJNL | Dr positive, Cr negative | Batch nets $0.00. Fields stored as text.
Carried from _CarryForward/Parks_4090000_Consolidated_Recode_Journal_3-Jun-2026.xlsx, DEDUPED against the
9-Jun worked recodes so nothing double-counts (see 00_Journal_Reconciliation_9-Jun-2026.md):
  - Doc46 audit: all lines EXCEPT J30 Motorcycles R Us (helmet+boots), which is a subset of NA72111 Set 2.
  - PCard batch: 626529478 split (Doc45, stands) + TE004478; TE004824 reduced to the riser-only move to
    72313 (Posca $41.05 is in NA72111 Set 4); Flair $77.27 dropped (superseded by NA73513 fresh $85).
  - WINC 73563 streams dropped entirely (NA73563 carries the fuller P1-P10 + Apr + Feb + TE005250 recode).

LDG | Account number | Fund account | Resource Group | Resource Code | Amount | Narrative1 | Narrative2 | Narrative3
--------------------------------------------------------------------------------------------------------------------
 PK | PK000068    | PK000068    | JOURNAL        | 72113         |   2377.35 | J1 recode: Pac Fire PPE                | Ref 188512 Svc 20401 (PK000068)        | PPE for fire operations
 PK | PK000068    | PK000068    | JOURNAL        | 72111         |  -2377.35 | J1 recode: Pac Fire PPE                | Ref 188512 Svc 20401 (PK000068)        | From 72111
 PK | PK000068    | PK000068    | JOURNAL        | 73220         |   1383.29 | J2 recode: Altus Traffic               | Ref 410015740 Svc 20401 (PK000068)     | Traffic control service — 
 PK | PK000068    | PK000068    | JOURNAL        | 72111         |  -1383.29 | J2 recode: Altus Traffic               | Ref 410015740 Svc 20401 (PK000068)     | From 72111
 PK | PK000068    | PK000068    | JOURNAL        | 73211         |    696.10 | J3 recode: Industrial Decontamination  | Ref INV-19260 Svc 20401 (PK000068)     | PPE decontamination — wild
 PK | PK000068    | PK000068    | JOURNAL        | 72111         |   -696.10 | J3 recode: Industrial Decontamination  | Ref INV-19260 Svc 20401 (PK000068)     | From 72111
 PK | PK000068    | PK000068    | JOURNAL        | 73211         |    560.85 | J4 recode: Industrial Decontamination  | Ref INV-18994 Svc 20401 (PK000068)     | PPE decontamination — wild
 PK | PK000068    | PK000068    | JOURNAL        | 72111         |   -560.85 | J4 recode: Industrial Decontamination  | Ref INV-18994 Svc 20401 (PK000068)     | From 72111
 PK | PK000068    | PK000068    | JOURNAL        | 73211         |    450.30 | J5 recode: Industrial Decontamination  | Ref INV-19437 Svc 20401 (PK000068)     | PPE decontamination — wild
 PK | PK000068    | PK000068    | JOURNAL        | 72111         |   -450.30 | J5 recode: Industrial Decontamination  | Ref INV-19437 Svc 20401 (PK000068)     | From 72111
 PK | PK000075    | PK000075    | JOURNAL        | 72113         |    200.00 | J8 recode: Reptile Awareness Displays  | Ref 003-2026 Svc 20411 (PK000075)      | First aid kits — bulk same
 PK | PK000075    | PK000075    | JOURNAL        | 72111         |   -200.00 | J8 recode: Reptile Awareness Displays  | Ref 003-2026 Svc 20411 (PK000075)      | From 72111
 PK | PK000496    | PK000496    | JOURNAL        | 72113         |    369.00 | J9 recode: Alpha First Aid             | Ref 8168559 Svc 20662 (PK000496)       | First aid kits — bulk same
 PK | PK000496    | PK000496    | JOURNAL        | 72111         |   -369.00 | J9 recode: Alpha First Aid             | Ref 8168559 Svc 20662 (PK000496)       | From 72111
 PK | PK000068    | PK000068    | JOURNAL        | 72113         |    307.35 | J10 recode: Pac Fire                   | Ref 188738 Svc 20401 (PK000068)        | Safety boot — individually
 PK | PK000068    | PK000068    | JOURNAL        | 72111         |   -307.35 | J10 recode: Pac Fire                   | Ref 188738 Svc 20401 (PK000068)        | From 72111
 PK | PK000068    | PK000068    | JOURNAL        | 72113         |    314.70 | J11 recode: Pac Fire                   | Ref 183802 Svc 20401 (PK000068)        | Safety helmet $299.70 + fr
 PK | PK000068    | PK000068    | JOURNAL        | 72111         |   -314.70 | J11 recode: Pac Fire                   | Ref 183802 Svc 20401 (PK000068)        | From 72111
 PK | PK000012    | PK000012    | JOURNAL        | 72112         |    237.83 | J13 recode: Bunnings                   | Ref 8210/02030503 Svc 20181 (PK000012) | Insecticide + fertiliser
