item_code,item_desc,qty,occurrences,total_amount
25198200,Winc Premium CN A4 80gsm White Ctn5,14.0,4,392.0
25094782,SDS Binder A4 2 D-Ring 40mm Yel,6.0,1,266.28
19796100,Winc 2026 Hardcover Diary A4 DTP Navy,24.0,2,196.32
25198202,Winc Premium CN A3 80gsm White Ctn3,3.0,3,108.9
19977300,Winc 2026 Hardcover Diary A5 DTP Navy,20.0,2,91.6
25093092,Wall Mount Brochure Hold DL 4 Pocket SBS,2.0,1,90.26
18885357,Winc Spiral Ntebk No. 337 A5 Prf 200 Pgs,21.0,5,67.41
86701308,Winc Spiral Ntebk No. 336 A4 240 Pgs,16.0,4,55.85
25093152,Marbig Prof Clpbrd A4 Storage Case Blk,3.0,2,54.99
25219446,Rapid Stapler Long Arm,1.0,1,50.51
87215079,Winc Rtrct Blpnt Pn Blu 1.0mm Pk 12,15.0,10,49.65
86713670,Winc A3 80 Mc Glss Lamtng Pouches Pk100,3.0,2,49.38
25088777,Keba Clpbrd A3 With Pen Hldr Blk,2.0,1,44.08
10003788,Winc Recld FlipChrt Pad 600x850 50sh Pk2,1.0,1,40.71
87215078,Winc Rtrct Blpnt Pn Blk 1.0mm Pk 12,12.0,7,39.72
86860543,Mbg Sheet Protect A4 H/wgt Bx100,4.0,2,38.32
86713671,Winc A4 80 Mc Glss Lamtng Pouches Pk100,3.0,2,34.62
86714375,Winc Self Adh Ntes Pastel 76X76mm Pkt5,9.0,5,33.39
18892646,Artline 200 Mrkr Fin 0.4mm Blk,13.0,2,29.9
25147632,Deflecto Sign Menu Prtrt Wall Mount A3,1.0,1,29.25
10003777,Winc 8.4mmx12m Perm Glue Tape Roller,10.0,1,29.2
19031468,Pstit Sup Stky Miami Pop-Up 76X76mm Pk6,1.0,1,29.04
9150600,Qrtet Wbrd Clnr Spirit Based 500ml,4.0,1,26.48
10006999,Spirax 812 A5 120Pg Recyled Notebook,11.0,2,26.18
18680621,Winc Chsl Tip Hghlghtr Assrt Col Bx 5,4.0,3,25.76
25086865,Winc Clipboard A4 Trnsprnt Clear,12.0,1,25.2
3488100,Winc Spiral Ntebk No.334 A4 120 Pg,11.0,2,23.65
25136042,Corp Exp Card Holder Retrac Blk,15.0,2,23.55
86602621,Spirax 571 Notebook A5 300Pg,6.0,2,22.92
86823374,Rexel Fuel Card Holder/Key Ring Pkt 10,1.0,1,22.52
25176572,Newspnt Wrap Roll 610mmx150m 45gsm White,1.0,1,18.4
74926000,Mrbg Desk Stapler Half Strip Blk/Grey,2.0,1,17.86
20430300,Winc 2026 Hardcover Diary A4 WTV Navy,3.0,1,16.44
25090900,Winc Clipfolder A4 W/Inside Pokt Blk,5.0,2,16.25
25170068,Gorilla Mounting Tape Blk 25.4mm x 1.52m,1.0,1,15.39
86760467,Winc 5mmx8m Dual Angle Crrctn Tpe,12.0,1,14.4
25087818,Uni Pwe8k Chalk Mker Chsl Tip Lht Blu Ea,2.0,1,14.12
20566200,Winc 2026 Hardcover Diary A5 WTV Navy,5.0,2,13.9
87079069,Winc Hc Spral Ntbk A4 Blk 200 Pgs,4.0,1,12.6
18980340,Winc 2026 Wiro Diary A5 Day to Page Blue,1.0,1,12.09
87161150,Mbg 43150 Clpbrd A3 Msnite LS LgeClp Brw,1.0,1,12.0
35469902,Winc Lever Arch File PP A4 Black,2.0,1,11.88
86657340,Canon Ls82Z Dsktop Calc 8 Digit Dual Pwr,1.0,1,11.11
86677531,Winc 23450 Dul Pwr 12 Dgt Dsktp Clcltr,1.0,1,10.79
25085755,Off El Black Wb Markers Bullet Tip Bx12,1.0,1,10.69
38867600,Mbg Enviro 80022E Arcv Stor Box Fix Lid,2.0,1,10.62
18949526,Winc Rtrct Blpnt Pn Blk 0.7mm Pk 12,4.0,4,10.4
87215081,Winc Rtrct Blpnt Pn Red 1.0mm Pk 12,3.0,2,9.93
18805289,Marbig 215mm Large Scissors Black Handle,3.0,1,9.93
25090983,Winc Fastener Strip Hook & Loop,1.0,1,9.62
86822088,WE Whtbrd Mkr Bllt Asst Cols Set4,2.0,1,9.58
18648710,Winc HFC Free Air Duster 400ml,2.0,1,9.02
25090887,Winc Clipboard A4 Trnsprnt Neon Yell,4.0,1,8.4
25090893,Winc Clipboard A4 Trnsprnt Neon Pink,4.0,1,8.4
87215297,Winc Perm Mrkr Bllt Tp Blk Bx 12,1.0,1,8.31
86823400,Kevron 46944 Key Tags Asst Flouro Pkt 10,1.0,1,8.07
18949527,Winc Rtrct Blpnt Pn Blu 0.7mm Pk 12,3.0,3,7.8
86540972,Spirax 595 Nbk A4 Side Opening 120 Pages,4.0,1,7.68
86695456,Bostik Blu Tack Rsble Adh 75G,3.0,2,7.56
18835492,Winc Chsl Tip Hghlghtr Yllw Bx 5,1.0,1,7.47
86815269,Winc Whtbrd Spry Clnr 250ml,3.0,2,6.93
87161434,Winc Chsl Tp Rcyc Hghlghtr Assrt Pk 6,2.0,1,6.42
25147626,Deflecto Sign Menu Prtrt Wall Mount A4,1.0,1,6.4
35469909,Winc Lever Arch File PP A4 Orange,1.0,1,5.94
35469905,Winc Lever Arch File PP A4 Red,1.0,1,5.94
35469904,Winc Lever Arch File PP A4 Blue,1.0,1,5.94
35469908,Winc Lever Arch File PP A4 Yellow,1.0,1,5.94
35469906,Winc Lever Arch File PP A4 Green,1.0,1,5.94
87142914,Winc Glue Stick 20g,5.0,1,5.6
86714374,Winc Self Adh Ntes Neon 76X76mm Pkt5,1.0,1,5.56
25091151,Winc Doc Wallet PP Button A4 Purple,5.0,1,5.55
25136045,Corp Exp Card Holder Retractable Wht,3.0,1,4.65
86511444,Winc Earth Insert Lev Arch File A4 White,1.0,1,4.55
25091004,Dispenser Tape Omax Dsktop Lge,1.0,1,3.99
25085719,Winc Staples 26/6 BX/5000,2.0,1,3.2
25086863,Scissors Gp Omax Smart Cut Ssteel 195mm,1.0,1,2.98
86762449,Winc Crystal Clear Tape 24Mmx66M,2.0,1,2.82
25085729,Winc Canister Sharpener 1 Hole Astd Clrs,2.0,1,2.68
18999146,Winc Rnd Magnets 25mm Black Pk 10,1.0,1,2.44
25086820,Adhesive Max-tack Reusable 75gm Blu,1.0,1,2.15
18894989,Westcott Microban Kids Scissor 6 Inch,1.0,1,2.01
